timestamp,rule,event_id,tags,snippet
2025-10-05T19:33:52.495885+00:00,A Member Was Added to a Security-Enabled Global Group,4728,attack.persistence;attack.t1098,
2025-10-05T19:34:41.503394+00:00,User Logoff Event,4634,attack.impact;attack.t1531,
2025-10-05T19:34:43.996261+00:00,User Logoff Event,4634,attack.impact;attack.t1531,
2025-10-05T19:38:30.746952+00:00,Rare Service Installations,,attack.persistence;attack.privilege_escalation;car.2013-09-005;attack.t1543.003,
2025-10-05T19:38:37.622824+00:00,Rare Service Installations,,attack.persistence;attack.privilege_escalation;car.2013-09-005;attack.t1543.003,
2025-10-05T19:47:54.614764+00:00,User Logoff Event,4647,attack.impact;attack.t1531,
2025-10-05T20:12:14.622967+00:00,Rare Service Installations,,attack.persistence;attack.privilege_escalation;car.2013-09-005;attack.t1543.003,
2025-10-05T20:12:44.214091+00:00,New Application in AppCompat,13,attack.execution;attack.t1204.002,
2025-10-05T20:17:09.362179+00:00,User Logoff Event,4647,attack.impact;attack.t1531,
2025-10-05T20:22:18.967907+00:00,User Logoff Event,4634,attack.impact;attack.t1531,
2025-10-05T20:24:51.114513+00:00,CurrentVersion Autorun Keys Modification,13,attack.persistence;attack.t1547.001,
2025-10-05T20:24:54.316895+00:00,CurrentControlSet Autorun Keys Modification,13,attack.persistence;attack.t1547.001,
2025-10-05T20:24:54.546344+00:00,CurrentControlSet Autorun Keys Modification,13,attack.persistence;attack.t1547.001,
2025-10-05T20:26:11.521708+00:00,Scheduled Task Created - FileCreation,11,attack.execution;attack.persistence;attack.privilege-escalation;attack.t1053.005;attack.s0111;car.2013-08-001;detection.threat-hunting,
2025-10-05T20:27:13.077388+00:00,Non Interactive PowerShell Process Spawned,1,attack.execution;attack.t1059.001,
2025-10-05T20:28:21.567821+00:00,Suspicious Encoded PowerShell Command Line,1,attack.execution;attack.t1059.001,
2025-10-05T20:35:34.563179+00:00,Non Interactive PowerShell Process Spawned,1,attack.execution;attack.t1059.001,
2025-10-05T21:19:57.513708+00:00,Suspicious Execution of Powershell with Base64,1,attack.execution;attack.t1059.001,
2025-10-05T21:24:44.543339+00:00,Suspicious PowerShell Encoded Command Patterns,1,attack.execution;attack.t1059.001,
2025-10-05T21:24:44.543339+00:00,Non Interactive PowerShell Process Spawned,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:14.554358+00:00,Suspicious Encoded PowerShell Command Line,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:15.455918+00:00,Suspicious Execution of Powershell with Base64,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:16.360319+00:00,Suspicious Execution of Powershell with Base64,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:17.226457+00:00,Suspicious PowerShell Encoded Command Patterns,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:17.226457+00:00,Non Interactive PowerShell Process Spawned,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:18.173863+00:00,Suspicious Encoded PowerShell Command Line,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:19.084983+00:00,Suspicious Execution of Powershell with Base64,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:20.069173+00:00,Suspicious PowerShell Encoded Command Patterns,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:20.069173+00:00,PowerShell Base64 Encoded Invoke Keyword,1,attack.execution;attack.t1059.001;attack.defense-evasion;attack.t1027,
2025-10-05T21:28:21.043294+00:00,Suspicious Encoded PowerShell Command Line,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:36.551915+00:00,Suspicious Execution of Powershell with Base64,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:37.663388+00:00,Suspicious PowerShell Encoded Command Patterns,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:37.663388+00:00,Non Interactive PowerShell Process Spawned,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:38.859195+00:00,Suspicious Encoded PowerShell Command Line,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:40.089612+00:00,Suspicious Execution of Powershell with Base64,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:41.192680+00:00,Suspicious PowerShell Encoded Command Patterns,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:41.192680+00:00,Non Interactive PowerShell Process Spawned,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:42.494671+00:00,Suspicious Encoded PowerShell Command Line,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:43.812800+00:00,Suspicious Execution of Powershell with Base64,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:45.100681+00:00,Suspicious PowerShell Encoded Command Patterns,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:45.100681+00:00,Non Interactive PowerShell Process Spawned,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:46.408480+00:00,Suspicious Encoded PowerShell Command Line,1,attack.execution;attack.t1059.001,
2025-10-05T21:28:47.724463+00:00,Suspicious Execution of Powershell with Base64,1,attack.execution;attack.t1059.001,
2025-10-05T21:52:11.203040+00:00,Creation of an Executable by an Executable,11,attack.resource-development;attack.t1587.001;detection.threat-hunting,
2025-10-05T22:20:26.401263+00:00,User Logoff Event,4634,attack.impact;attack.t1531,
2025-10-05T22:21:42.823343+00:00,Rare Service Installations,,attack.persistence;attack.privilege_escalation;car.2013-09-005;attack.t1543.003,
2025-10-05T22:24:23.867407+00:00,Windows Service Terminated With Error,7023,attack.defense-evasion,
2025-10-05T22:42:46.373695+00:00,Scheduled Task Created - FileCreation,11,attack.execution;attack.persistence;attack.privilege-escalation;attack.t1053.005;attack.s0111;car.2013-08-001;detection.threat-hunting,
2025-10-05T22:42:51.662964+00:00,Creation of an Executable by an Executable,11,attack.resource-development;attack.t1587.001;detection.threat-hunting,
2025-10-05T23:28:08.305006+00:00,Scheduled Task Created - FileCreation,11,attack.execution;attack.persistence;attack.privilege-escalation;attack.t1053.005;attack.s0111;car.2013-08-001;detection.threat-hunting,
2025-10-05T23:37:56.386094+00:00,Non Interactive PowerShell Process Spawned,1,attack.execution;attack.t1059.001,
2025-10-05T23:46:37.168912+00:00,Rare Service Installations,,attack.persistence;attack.privilege_escalation;car.2013-09-005;attack.t1543.003,
2025-10-05T23:46:38.549596+00:00,Non Interactive PowerShell Process Spawned,1,attack.execution;attack.t1059.001,
2025-10-05T23:56:40.049657+00:00,Scheduled Task Created - FileCreation,11,attack.execution;attack.persistence;attack.privilege-escalation;attack.t1053.005;attack.s0111;car.2013-08-001;detection.threat-hunting,
2025-10-05T23:56:40.186747+00:00,Scheduled Task Created - FileCreation,11,attack.execution;attack.persistence;attack.privilege-escalation;attack.t1053.005;attack.s0111;car.2013-08-001;detection.threat-hunting,
2025-10-06T00:05:48.078010+00:00,Godmode Sigma Rule,11,,
2025-10-06T01:10:19.260957+00:00,Potential Persistence Via COM Search Order Hijacking,13,attack.persistence;attack.t1546.015,
2025-10-06T16:15:00.628848+00:00,Scheduled Task Created - FileCreation,11,attack.execution;attack.persistence;attack.privilege-escalation;attack.t1053.005;attack.s0111;car.2013-08-001;detection.threat-hunting,
2025-10-06T16:23:20.913017+00:00,Elevated System Shell Spawned,1,attack.privilege-escalation;attack.defense-evasion;attack.execution;attack.t1059;detection.threat-hunting,
2025-10-06T16:41:07.564333+00:00,Suspicious Execution of Powershell with Base64,1,attack.execution;attack.t1059.001,
2025-10-06T16:41:11.878456+00:00,Suspicious PowerShell Encoded Command Patterns,1,attack.execution;attack.t1059.001,
2025-10-06T16:41:11.878456+00:00,Non Interactive PowerShell Process Spawned,1,attack.execution;attack.t1059.001,
2025-10-06T16:41:18.040506+00:00,Suspicious Encoded PowerShell Command Line,1,attack.execution;attack.t1059.001,
2025-10-06T16:41:23.466197+00:00,Suspicious Execution of Powershell with Base64,1,attack.execution;attack.t1059.001,
